tensor(2.5151, device='cuda:0')
tensor(2.5274, device='cuda:0')
tensor(2.6750, device='cuda:0')
tensor(2.6939, device='cuda:0')
tensor(2.5943, device='cuda:0')
tensor(2.4906, device='cuda:0')
tensor(2.5404, device='cuda:0')
tensor(2.6057, device='cuda:0')
tensor(2.5165, device='cuda:0')
tensor(2.5213, device='cuda:0')
tensor(2.4741, device='cuda:0')
tensor(2.3935, device='cuda:0')
tensor(2.5423, device='cuda:0')
tensor(2.4279, device='cuda:0')
tensor(2.5952, device='cuda:0')
tensor(2.6570, device='cuda:0')
tensor(2.7401, device='cuda:0')
tensor(2.6055, device='cuda:0')
tensor(2.7790, device='cuda:0')
tensor(2.7701, device='cuda:0')
tensor(2.5809, device='cuda:0')
tensor(2.5829, device='cuda:0')
tensor(3.0062, device='cuda:0')
tensor(2.6332, device='cuda:0')
tensor(2.6203, device='cuda:0')
tensor(2.4284, device='cuda:0')
tensor(2.7203, device='cuda:0')
tensor(2.7895, device='cuda:0')
tensor(2.4709, device='cuda:0')
tensor(2.2842, device='cuda:0')
tensor(2.5650, device='cuda:0')
tensor(2.6630, device='cuda:0')
tensor(2.3834, device='cuda:0')
tensor(2.7044, device='cuda:0')
tensor(2.2534, device='cuda:0')
tensor(2.4910, device='cuda:0')
tensor(2.5799, device='cuda:0')
tensor(2.7565, device='cuda:0')
tensor(2.4216, device='cuda:0')
tensor(2.5142, device='cuda:0')
tensor(2.3168, device='cuda:0')
tensor(2.8223, device='cuda:0')
tensor(2.3806, device='cuda:0')
tensor(2.3764, device='cuda:0')
tensor(2.2819, device='cuda:0')
tensor(2.9555, device='cuda:0')
tensor(2.5330, device='cuda:0')
tensor(2.4819, device='cuda:0')
tensor(2.2279, device='cuda:0')
tensor(2.3837, device='cuda:0')
tensor(2.4337, device='cuda:0')
tensor(2.6936, device='cuda:0')
tensor(2.4425, device='cuda:0')
tensor(2.5654, device='cuda:0')
tensor(2.1951, device='cuda:0')
tensor(2.2104, device='cuda:0')
tensor(2.4982, device='cuda:0')
tensor(2.7445, device='cuda:0')
tensor(2.3491, device='cuda:0')
tensor(2.4267, device='cuda:0')
tensor(2.5406, device='cuda:0')
tensor(2.2332, device='cuda:0')
tensor(2.3187, device='cuda:0')
tensor(2.4756, device='cuda:0')
tensor(2.2392, device='cuda:0')
tensor(2.3101, device='cuda:0')
tensor(2.1569, device='cuda:0')
tensor(2.6208, device='cuda:0')
tensor(2.4064, device='cuda:0')
tensor(2.2404, device='cuda:0')
tensor(1.8726, device='cuda:0')
tensor(2.3715, device='cuda:0')
tensor(2.4659, device='cuda:0')
tensor(2.5399, device='cuda:0')
tensor(2.6185, device='cuda:0')
tensor(2.6158, device='cuda:0')
tensor(2.5193, device='cuda:0')
tensor(2.8089, device='cuda:0')
tensor(2.3721, device='cuda:0')
tensor(2.3725, device='cuda:0')
tensor(2.5809, device='cuda:0')
tensor(2.5134, device='cuda:0')
tensor(2.3909, device='cuda:0')
tensor(2.3185, device='cuda:0')
tensor(2.2945, device='cuda:0')
tensor(2.2564, device='cuda:0')
tensor(2.3365, device='cuda:0')
tensor(2.5921, device='cuda:0')
tensor(2.4180, device='cuda:0')
tensor(2.3903, device='cuda:0')
tensor(2.1926, device='cuda:0')
tensor(2.3773, device='cuda:0')
tensor(2.7756, device='cuda:0')
tensor(2.5749, device='cuda:0')
tensor(2.5124, device='cuda:0')
tensor(2.3084, device='cuda:0')
tensor(2.3793, device='cuda:0')
tensor(2.5067, device='cuda:0')
tensor(2.2487, device='cuda:0')
tensor(2.3562, device='cuda:0')
tensor(2.2352, device='cuda:0')
tensor(2.2770, device='cuda:0')
tensor(2.2708, device='cuda:0')
tensor(2.2454, device='cuda:0')
tensor(2.2755, device='cuda:0')
tensor(2.4444, device='cuda:0')
tensor(2.4581, device='cuda:0')
tensor(2.3455, device='cuda:0')
tensor(2.4289, device='cuda:0')
tensor(2.3006, device='cuda:0')
tensor(2.4902, device='cuda:0')
tensor(2.6879, device='cuda:0')
tensor(2.3061, device='cuda:0')
tensor(2.4288, device='cuda:0')
tensor(2.6579, device='cuda:0')
tensor(2.4718, device='cuda:0')
tensor(2.5975, device='cuda:0')
tensor(2.3783, device='cuda:0')
tensor(2.0758, device='cuda:0')
tensor(2.1264, device='cuda:0')
tensor(2.5396, device='cuda:0')
tensor(2.6011, device='cuda:0')
tensor(2.6620, device='cuda:0')
tensor(2.2300, device='cuda:0')
tensor(2.6430, device='cuda:0')
tensor(2.3342, device='cuda:0')
tensor(2.5676, device='cuda:0')
tensor(2.6025, device='cuda:0')
tensor(2.3255, device='cuda:0')
tensor(2.4751, device='cuda:0')
tensor(2.3100, device='cuda:0')
tensor(2.4227, device='cuda:0')
tensor(2.0893, device='cuda:0')
tensor(2.4265, device='cuda:0')
tensor(2.2866, device='cuda:0')
tensor(2.3326, device='cuda:0')
