tensor(4.1178, device='cuda:0')
tensor(4.0569, device='cuda:0')
tensor(4.2193, device='cuda:0')
tensor(4.3401, device='cuda:0')
tensor(4.1872, device='cuda:0')
tensor(4.0081, device='cuda:0')
tensor(4.1079, device='cuda:0')
tensor(4.1029, device='cuda:0')
tensor(4.0438, device='cuda:0')
tensor(4.1007, device='cuda:0')
tensor(3.9113, device='cuda:0')
tensor(3.9652, device='cuda:0')
tensor(4.0896, device='cuda:0')
tensor(4.0782, device='cuda:0')
tensor(4.1588, device='cuda:0')
tensor(4.2352, device='cuda:0')
tensor(4.1861, device='cuda:0')
tensor(4.0751, device='cuda:0')
tensor(4.2262, device='cuda:0')
tensor(4.2958, device='cuda:0')
tensor(4.0881, device='cuda:0')
tensor(4.1120, device='cuda:0')
tensor(4.4828, device='cuda:0')
tensor(4.0876, device='cuda:0')
tensor(4.1257, device='cuda:0')
tensor(3.8932, device='cuda:0')
tensor(4.2095, device='cuda:0')
tensor(4.3054, device='cuda:0')
tensor(4.0063, device='cuda:0')
tensor(3.9006, device='cuda:0')
tensor(4.1172, device='cuda:0')
tensor(4.1722, device='cuda:0')
tensor(3.8965, device='cuda:0')
tensor(4.2884, device='cuda:0')
tensor(3.9726, device='cuda:0')
tensor(4.1189, device='cuda:0')
tensor(4.0933, device='cuda:0')
tensor(4.3126, device='cuda:0')
tensor(3.8935, device='cuda:0')
tensor(4.0899, device='cuda:0')
tensor(3.9812, device='cuda:0')
tensor(4.2021, device='cuda:0')
tensor(3.9355, device='cuda:0')
tensor(3.9665, device='cuda:0')
tensor(3.8038, device='cuda:0')
tensor(4.3749, device='cuda:0')
tensor(4.0700, device='cuda:0')
tensor(3.9961, device='cuda:0')
tensor(3.7281, device='cuda:0')
tensor(3.9606, device='cuda:0')
tensor(3.8621, device='cuda:0')
tensor(4.1534, device='cuda:0')
tensor(4.1012, device='cuda:0')
tensor(4.1262, device='cuda:0')
tensor(3.8896, device='cuda:0')
tensor(3.8070, device='cuda:0')
tensor(3.9478, device='cuda:0')
tensor(4.3034, device='cuda:0')
tensor(3.8856, device='cuda:0')
tensor(4.0124, device='cuda:0')
tensor(4.0293, device='cuda:0')
tensor(3.9607, device='cuda:0')
tensor(3.8944, device='cuda:0')
tensor(4.0529, device='cuda:0')
tensor(3.7861, device='cuda:0')
tensor(3.9696, device='cuda:0')
tensor(3.7265, device='cuda:0')
tensor(4.1346, device='cuda:0')
tensor(3.8966, device='cuda:0')
tensor(3.7949, device='cuda:0')
tensor(3.5659, device='cuda:0')
tensor(3.9953, device='cuda:0')
tensor(4.0569, device='cuda:0')
tensor(4.1991, device='cuda:0')
tensor(4.0602, device='cuda:0')
tensor(4.1722, device='cuda:0')
tensor(4.0672, device='cuda:0')
tensor(4.3273, device='cuda:0')
tensor(3.8821, device='cuda:0')
tensor(3.9645, device='cuda:0')
tensor(3.9908, device='cuda:0')
tensor(4.1035, device='cuda:0')
tensor(3.9934, device='cuda:0')
tensor(3.9963, device='cuda:0')
tensor(3.9649, device='cuda:0')
tensor(3.7835, device='cuda:0')
tensor(3.9274, device='cuda:0')
tensor(4.1234, device='cuda:0')
tensor(4.0513, device='cuda:0')
tensor(4.0132, device='cuda:0')
tensor(3.7302, device='cuda:0')
tensor(3.9998, device='cuda:0')
tensor(4.2873, device='cuda:0')
tensor(4.0884, device='cuda:0')
tensor(4.0848, device='cuda:0')
tensor(3.8122, device='cuda:0')
tensor(3.9447, device='cuda:0')
tensor(4.2572, device='cuda:0')
tensor(4.0634, device='cuda:0')
tensor(4.0526, device='cuda:0')
tensor(3.9136, device='cuda:0')
tensor(3.7357, device='cuda:0')
tensor(3.8934, device='cuda:0')
tensor(3.8320, device='cuda:0')
tensor(3.8194, device='cuda:0')
tensor(3.9570, device='cuda:0')
tensor(3.9737, device='cuda:0')
tensor(4.0824, device='cuda:0')
tensor(3.8676, device='cuda:0')
tensor(3.7817, device='cuda:0')
tensor(3.9771, device='cuda:0')
tensor(4.1313, device='cuda:0')
tensor(3.9097, device='cuda:0')
tensor(4.1175, device='cuda:0')
tensor(4.0412, device='cuda:0')
tensor(4.0892, device='cuda:0')
tensor(4.2014, device='cuda:0')
tensor(3.9857, device='cuda:0')
tensor(3.7302, device='cuda:0')
tensor(3.7044, device='cuda:0')
tensor(3.9695, device='cuda:0')
tensor(4.0811, device='cuda:0')
tensor(4.1385, device='cuda:0')
tensor(3.8095, device='cuda:0')
tensor(4.2073, device='cuda:0')
tensor(3.9590, device='cuda:0')
tensor(4.1998, device='cuda:0')
tensor(4.2383, device='cuda:0')
tensor(4.0511, device='cuda:0')
tensor(4.0166, device='cuda:0')
tensor(3.8353, device='cuda:0')
tensor(3.9756, device='cuda:0')
tensor(3.6737, device='cuda:0')
tensor(3.9902, device='cuda:0')
tensor(3.7738, device='cuda:0')
tensor(3.8220, device='cuda:0')
tensor(3.9161, device='cuda:0')
tensor(4.2393, device='cuda:0')
tensor(3.8800, device='cuda:0')
tensor(3.7548, device='cuda:0')
tensor(3.6560, device='cuda:0')
tensor(3.7539, device='cuda:0')
tensor(3.9680, device='cuda:0')
tensor(4.0153, device='cuda:0')
tensor(3.7815, device='cuda:0')
tensor(3.7631, device='cuda:0')
tensor(3.8692, device='cuda:0')
tensor(3.9747, device='cuda:0')
tensor(4.0888, device='cuda:0')
tensor(4.0345, device='cuda:0')
tensor(3.8082, device='cuda:0')
tensor(3.7956, device='cuda:0')
tensor(3.9190, device='cuda:0')
tensor(3.8905, device='cuda:0')
tensor(3.8612, device='cuda:0')
tensor(3.8996, device='cuda:0')
tensor(4.0878, device='cuda:0')
tensor(4.0467, device='cuda:0')
tensor(3.9145, device='cuda:0')
tensor(3.7620, device='cuda:0')
tensor(3.9347, device='cuda:0')
tensor(3.8725, device='cuda:0')
tensor(3.7042, device='cuda:0')
