tensor(4.7602, device='cuda:0')
tensor(4.7300, device='cuda:0')
tensor(4.9089, device='cuda:0')
tensor(4.9792, device='cuda:0')
tensor(4.8206, device='cuda:0')
tensor(4.6959, device='cuda:0')
tensor(4.8038, device='cuda:0')
tensor(4.7589, device='cuda:0')
tensor(4.7297, device='cuda:0')
tensor(4.7815, device='cuda:0')
tensor(4.5905, device='cuda:0')
tensor(4.6729, device='cuda:0')
tensor(4.7911, device='cuda:0')
tensor(4.7577, device='cuda:0')
tensor(4.8332, device='cuda:0')
tensor(4.9235, device='cuda:0')
tensor(4.8619, device='cuda:0')
tensor(4.7414, device='cuda:0')
tensor(4.8792, device='cuda:0')
tensor(4.9271, device='cuda:0')
tensor(4.7581, device='cuda:0')
tensor(4.7683, device='cuda:0')
tensor(5.1029, device='cuda:0')
tensor(4.7909, device='cuda:0')
tensor(4.8000, device='cuda:0')
tensor(4.6098, device='cuda:0')
tensor(4.8317, device='cuda:0')
tensor(4.9621, device='cuda:0')
tensor(4.7154, device='cuda:0')
tensor(4.6045, device='cuda:0')
tensor(4.8157, device='cuda:0')
tensor(4.8660, device='cuda:0')
tensor(4.6112, device='cuda:0')
tensor(4.9822, device='cuda:0')
tensor(4.6950, device='cuda:0')
tensor(4.8295, device='cuda:0')
tensor(4.7798, device='cuda:0')
tensor(4.9644, device='cuda:0')
tensor(4.6382, device='cuda:0')
tensor(4.7386, device='cuda:0')
tensor(4.7192, device='cuda:0')
tensor(4.8945, device='cuda:0')
tensor(4.7195, device='cuda:0')
tensor(4.6730, device='cuda:0')
tensor(4.5440, device='cuda:0')
tensor(4.9378, device='cuda:0')
tensor(4.7575, device='cuda:0')
tensor(4.6822, device='cuda:0')
tensor(4.5210, device='cuda:0')
tensor(4.6872, device='cuda:0')
tensor(4.5511, device='cuda:0')
tensor(4.8748, device='cuda:0')
tensor(4.7845, device='cuda:0')
tensor(4.7715, device='cuda:0')
tensor(4.5590, device='cuda:0')
tensor(4.4907, device='cuda:0')
tensor(4.6387, device='cuda:0')
tensor(4.9205, device='cuda:0')
tensor(4.6106, device='cuda:0')
tensor(4.7701, device='cuda:0')
tensor(4.7004, device='cuda:0')
tensor(4.7049, device='cuda:0')
tensor(4.5863, device='cuda:0')
tensor(4.7397, device='cuda:0')
tensor(4.5190, device='cuda:0')
tensor(4.6869, device='cuda:0')
tensor(4.4509, device='cuda:0')
tensor(4.7809, device='cuda:0')
tensor(4.6623, device='cuda:0')
tensor(4.5726, device='cuda:0')
tensor(4.3649, device='cuda:0')
tensor(4.6906, device='cuda:0')
tensor(4.7232, device='cuda:0')
tensor(4.9067, device='cuda:0')
tensor(4.7719, device='cuda:0')
tensor(4.9115, device='cuda:0')
tensor(4.7943, device='cuda:0')
tensor(5.0068, device='cuda:0')
tensor(4.6293, device='cuda:0')
tensor(4.6742, device='cuda:0')
tensor(4.7038, device='cuda:0')
tensor(4.8147, device='cuda:0')
tensor(4.7277, device='cuda:0')
tensor(4.7742, device='cuda:0')
tensor(4.6851, device='cuda:0')
tensor(4.5121, device='cuda:0')
tensor(4.6722, device='cuda:0')
tensor(4.8375, device='cuda:0')
tensor(4.7588, device='cuda:0')
tensor(4.7300, device='cuda:0')
tensor(4.4477, device='cuda:0')
tensor(4.7181, device='cuda:0')
tensor(4.9713, device='cuda:0')
tensor(4.7622, device='cuda:0')
tensor(4.7737, device='cuda:0')
tensor(4.5409, device='cuda:0')
tensor(4.6184, device='cuda:0')
tensor(4.9514, device='cuda:0')
tensor(4.8265, device='cuda:0')
tensor(4.7943, device='cuda:0')
tensor(4.6156, device='cuda:0')
tensor(4.4412, device='cuda:0')
tensor(4.6181, device='cuda:0')
tensor(4.5999, device='cuda:0')
tensor(4.5552, device='cuda:0')
tensor(4.6661, device='cuda:0')
tensor(4.6846, device='cuda:0')
tensor(4.8158, device='cuda:0')
tensor(4.5700, device='cuda:0')
tensor(4.4738, device='cuda:0')
tensor(4.6989, device='cuda:0')
tensor(4.8427, device='cuda:0')
tensor(4.6500, device='cuda:0')
tensor(4.8135, device='cuda:0')
tensor(4.7298, device='cuda:0')
tensor(4.7888, device='cuda:0')
tensor(4.8787, device='cuda:0')
tensor(4.6972, device='cuda:0')
tensor(4.4519, device='cuda:0')
tensor(4.4397, device='cuda:0')
tensor(4.6769, device='cuda:0')
tensor(4.7959, device='cuda:0')
tensor(4.8225, device='cuda:0')
tensor(4.5500, device='cuda:0')
tensor(4.8842, device='cuda:0')
tensor(4.6851, device='cuda:0')
tensor(4.8628, device='cuda:0')
tensor(4.8907, device='cuda:0')
tensor(4.7966, device='cuda:0')
tensor(4.7032, device='cuda:0')
tensor(4.5790, device='cuda:0')
tensor(4.7199, device='cuda:0')
tensor(4.4231, device='cuda:0')
tensor(4.6824, device='cuda:0')
tensor(4.4999, device='cuda:0')
tensor(4.5594, device='cuda:0')
tensor(4.6484, device='cuda:0')
tensor(4.9434, device='cuda:0')
tensor(4.5972, device='cuda:0')
tensor(4.5053, device='cuda:0')
tensor(4.4610, device='cuda:0')
tensor(4.5426, device='cuda:0')
tensor(4.7325, device='cuda:0')
tensor(4.7527, device='cuda:0')
tensor(4.5411, device='cuda:0')
tensor(4.5318, device='cuda:0')
tensor(4.6343, device='cuda:0')
tensor(4.7342, device='cuda:0')
tensor(4.7547, device='cuda:0')
tensor(4.7681, device='cuda:0')
tensor(4.6060, device='cuda:0')
tensor(4.5298, device='cuda:0')
tensor(4.6603, device='cuda:0')
tensor(4.6330, device='cuda:0')
tensor(4.5677, device='cuda:0')
tensor(4.6208, device='cuda:0')
tensor(4.7777, device='cuda:0')
tensor(4.7462, device='cuda:0')
tensor(4.6450, device='cuda:0')
tensor(4.4897, device='cuda:0')
tensor(4.6623, device='cuda:0')
tensor(4.5837, device='cuda:0')
tensor(4.4574, device='cuda:0')
tensor(4.6059, device='cuda:0')
tensor(4.6682, device='cuda:0')
tensor(4.6425, device='cuda:0')
tensor(4.5480, device='cuda:0')
tensor(4.4432, device='cuda:0')
tensor(4.5474, device='cuda:0')
tensor(4.7704, device='cuda:0')
tensor(4.7759, device='cuda:0')
tensor(4.7240, device='cuda:0')
tensor(4.2973, device='cuda:0')
tensor(4.5061, device='cuda:0')
tensor(4.5554, device='cuda:0')
tensor(4.4754, device='cuda:0')
tensor(4.6085, device='cuda:0')
tensor(4.6402, device='cuda:0')
tensor(4.5781, device='cuda:0')
tensor(4.6248, device='cuda:0')
tensor(4.6283, device='cuda:0')
tensor(4.7441, device='cuda:0')
tensor(4.5745, device='cuda:0')
tensor(4.5830, device='cuda:0')
tensor(4.6954, device='cuda:0')
tensor(4.8405, device='cuda:0')
tensor(4.4838, device='cuda:0')
tensor(4.7146, device='cuda:0')
tensor(4.5542, device='cuda:0')
tensor(4.8094, device='cuda:0')
tensor(4.7448, device='cuda:0')
tensor(4.9851, device='cuda:0')
tensor(4.8251, device='cuda:0')
tensor(4.8155, device='cuda:0')
tensor(4.8376, device='cuda:0')
tensor(4.5595, device='cuda:0')
tensor(4.8021, device='cuda:0')
tensor(4.5464, device='cuda:0')
tensor(4.7729, device='cuda:0')
tensor(4.7683, device='cuda:0')
tensor(4.6964, device='cuda:0')
tensor(4.9919, device='cuda:0')
tensor(4.6729, device='cuda:0')
tensor(4.5641, device='cuda:0')
tensor(4.7101, device='cuda:0')
tensor(4.5173, device='cuda:0')
tensor(4.4704, device='cuda:0')
tensor(4.8021, device='cuda:0')
tensor(4.5635, device='cuda:0')
tensor(4.7127, device='cuda:0')
tensor(4.6322, device='cuda:0')
tensor(4.4735, device='cuda:0')
tensor(4.5583, device='cuda:0')
tensor(4.5110, device='cuda:0')
tensor(4.4949, device='cuda:0')
tensor(4.5443, device='cuda:0')
tensor(4.7584, device='cuda:0')
tensor(4.5705, device='cuda:0')
tensor(4.6693, device='cuda:0')
tensor(4.5766, device='cuda:0')
tensor(4.6703, device='cuda:0')
tensor(4.5094, device='cuda:0')
tensor(4.5203, device='cuda:0')
tensor(4.8265, device='cuda:0')
tensor(4.7034, device='cuda:0')
tensor(4.7469, device='cuda:0')
tensor(4.5566, device='cuda:0')
tensor(4.6225, device='cuda:0')
tensor(4.4985, device='cuda:0')
tensor(4.7586, device='cuda:0')
tensor(4.5264, device='cuda:0')
tensor(4.7076, device='cuda:0')
tensor(4.5910, device='cuda:0')
tensor(4.7213, device='cuda:0')
tensor(4.5164, device='cuda:0')
tensor(4.9260, device='cuda:0')
tensor(4.9322, device='cuda:0')
tensor(4.7266, device='cuda:0')
tensor(4.6776, device='cuda:0')
tensor(4.8036, device='cuda:0')
tensor(4.5565, device='cuda:0')
tensor(4.6985, device='cuda:0')
tensor(4.5459, device='cuda:0')
tensor(4.4439, device='cuda:0')
tensor(4.3931, device='cuda:0')
tensor(4.7134, device='cuda:0')
tensor(4.5209, device='cuda:0')
tensor(4.5084, device='cuda:0')
tensor(4.6696, device='cuda:0')
tensor(4.5568, device='cuda:0')
tensor(4.5561, device='cuda:0')
tensor(4.7876, device='cuda:0')
tensor(4.5031, device='cuda:0')
tensor(4.7452, device='cuda:0')
tensor(4.8898, device='cuda:0')
tensor(4.7698, device='cuda:0')
tensor(4.8592, device='cuda:0')
tensor(4.9030, device='cuda:0')
tensor(4.8770, device='cuda:0')
tensor(4.7584, device='cuda:0')
tensor(4.8174, device='cuda:0')
tensor(4.9230, device='cuda:0')
tensor(4.7611, device='cuda:0')
tensor(4.7498, device='cuda:0')
tensor(4.8645, device='cuda:0')
tensor(4.6707, device='cuda:0')
tensor(4.8056, device='cuda:0')
tensor(4.8397, device='cuda:0')
tensor(4.9136, device='cuda:0')
tensor(4.9030, device='cuda:0')
tensor(4.9429, device='cuda:0')
tensor(4.8708, device='cuda:0')
tensor(5.1098, device='cuda:0')
tensor(4.8787, device='cuda:0')
tensor(4.8413, device='cuda:0')
tensor(4.8673, device='cuda:0')
tensor(4.9626, device='cuda:0')
tensor(4.8407, device='cuda:0')
tensor(4.5458, device='cuda:0')
tensor(4.8459, device='cuda:0')
tensor(4.9469, device='cuda:0')
tensor(4.6735, device='cuda:0')
tensor(4.9592, device='cuda:0')
tensor(4.7796, device='cuda:0')
tensor(5.1133, device='cuda:0')
tensor(4.8993, device='cuda:0')
tensor(4.7246, device='cuda:0')
tensor(4.9770, device='cuda:0')
tensor(4.7820, device='cuda:0')
tensor(4.8513, device='cuda:0')
tensor(4.8043, device='cuda:0')
tensor(4.8797, device='cuda:0')
tensor(4.6654, device='cuda:0')
tensor(4.6693, device='cuda:0')
tensor(4.7672, device='cuda:0')
tensor(4.8317, device='cuda:0')
tensor(4.7506, device='cuda:0')
tensor(4.7464, device='cuda:0')
tensor(4.8126, device='cuda:0')
tensor(4.9058, device='cuda:0')
tensor(4.7696, device='cuda:0')
tensor(4.7357, device='cuda:0')
tensor(4.5933, device='cuda:0')
tensor(4.6952, device='cuda:0')
tensor(4.9180, device='cuda:0')
tensor(4.9248, device='cuda:0')
tensor(4.8293, device='cuda:0')
tensor(4.7736, device='cuda:0')
tensor(4.6596, device='cuda:0')
tensor(4.8895, device='cuda:0')
tensor(4.9138, device='cuda:0')
tensor(4.8446, device='cuda:0')
tensor(4.8355, device='cuda:0')
tensor(4.6798, device='cuda:0')
tensor(4.7094, device='cuda:0')
tensor(4.6911, device='cuda:0')
tensor(4.6596, device='cuda:0')
tensor(4.6181, device='cuda:0')
tensor(4.5226, device='cuda:0')
tensor(4.7878, device='cuda:0')
tensor(4.8512, device='cuda:0')
tensor(4.6115, device='cuda:0')
tensor(4.4750, device='cuda:0')
tensor(4.4313, device='cuda:0')
tensor(4.6539, device='cuda:0')
tensor(4.7052, device='cuda:0')
tensor(4.8871, device='cuda:0')
tensor(4.9145, device='cuda:0')
tensor(4.6948, device='cuda:0')
tensor(4.8883, device='cuda:0')
tensor(4.8221, device='cuda:0')
tensor(4.9396, device='cuda:0')
tensor(4.7649, device='cuda:0')
tensor(4.7188, device='cuda:0')
tensor(4.7502, device='cuda:0')
tensor(4.7881, device='cuda:0')
tensor(4.7609, device='cuda:0')
tensor(4.8197, device='cuda:0')
tensor(4.6977, device='cuda:0')
tensor(4.6685, device='cuda:0')
tensor(4.7198, device='cuda:0')
tensor(4.7467, device='cuda:0')
tensor(4.7996, device='cuda:0')
tensor(4.5884, device='cuda:0')
tensor(4.5378, device='cuda:0')
tensor(4.7487, device='cuda:0')
tensor(4.9990, device='cuda:0')
tensor(4.9818, device='cuda:0')
tensor(4.8224, device='cuda:0')
tensor(4.7212, device='cuda:0')
tensor(4.5306, device='cuda:0')
tensor(4.6837, device='cuda:0')
tensor(4.8023, device='cuda:0')
tensor(4.7904, device='cuda:0')
tensor(4.7850, device='cuda:0')
tensor(4.6993, device='cuda:0')
tensor(4.7905, device='cuda:0')
tensor(4.7527, device='cuda:0')
tensor(4.7993, device='cuda:0')
tensor(4.6365, device='cuda:0')
tensor(4.8234, device='cuda:0')
tensor(4.9136, device='cuda:0')
tensor(4.8305, device='cuda:0')
tensor(4.6745, device='cuda:0')
tensor(4.6455, device='cuda:0')
tensor(4.7454, device='cuda:0')
tensor(4.8898, device='cuda:0')
tensor(4.8158, device='cuda:0')
tensor(4.7312, device='cuda:0')
tensor(4.7320, device='cuda:0')
tensor(4.7980, device='cuda:0')
tensor(4.6989, device='cuda:0')
tensor(4.7305, device='cuda:0')
tensor(4.7200, device='cuda:0')
tensor(4.4595, device='cuda:0')
tensor(4.7926, device='cuda:0')
tensor(4.7209, device='cuda:0')
tensor(4.8739, device='cuda:0')
tensor(4.9657, device='cuda:0')
tensor(4.8692, device='cuda:0')
tensor(4.7365, device='cuda:0')
tensor(4.8020, device='cuda:0')
tensor(4.8290, device='cuda:0')
tensor(4.9170, device='cuda:0')
tensor(4.7939, device='cuda:0')
tensor(4.7802, device='cuda:0')
tensor(4.5658, device='cuda:0')
tensor(4.6422, device='cuda:0')
tensor(4.5042, device='cuda:0')
